=== RuntimeLogger 디버그 세션 ===
=== 세션 시작: 2026-08-05 02:28:19 ===
[02:29:09.256] [INFO] [Skill/UnitCombatUseCase] ApplyGlobal(HoT) | role=Server, team=Blue, targets=10, healPerTarget=200HP, dur=5.00, raiseNet=True
[02:29:09.559] [INFO] [Skill/StatusEffectSystem] Apply | role=Server, unit=0, kind=Freeze, mag=0, dur=3.00, team=Blue
[02:29:09.560] [INFO] [Skill/StatusEffectSystem] Apply | role=Server, unit=2, kind=Freeze, mag=0, dur=3.00, team=Blue
[02:29:09.560] [INFO] [Skill/StatusEffectSystem] Apply | role=Server, unit=22, kind=Freeze, mag=0, dur=3.00, team=Blue
[02:29:09.561] [INFO] [Skill/StatusEffectSystem] Apply | role=Server, unit=6, kind=Freeze, mag=0, dur=3.00, team=Blue
[02:29:09.561] [INFO] [Skill/StatusEffectSystem] Apply | role=Server, unit=11, kind=Freeze, mag=0, dur=3.00, team=Blue
[02:29:09.566] [INFO] [Skill/StatusEffectSystem] Apply | role=Server, unit=23, kind=Freeze, mag=0, dur=3.00, team=Blue
[02:29:09.566] [INFO] [Skill/StatusEffectSystem] Apply | role=Server, unit=16, kind=Freeze, mag=0, dur=3.00, team=Blue
[02:29:09.568] [INFO] [Skill/StatusEffectSystem] Apply | role=Server, unit=17, kind=Freeze, mag=0, dur=3.00, team=Blue
[02:29:09.568] [INFO] [Skill/StatusEffectSystem] Apply | role=Server, unit=19, kind=Freeze, mag=0, dur=3.00, team=Blue
[02:29:09.568] [INFO] [Skill/StatusEffectSystem] Apply | role=Server, unit=25, kind=Freeze, mag=0, dur=3.00, team=Blue
[02:29:09.569] [INFO] [Skill/UnitCombatUseCase] ApplyGlobal | role=Server, team=Blue, kind=Freeze, targets=10, mag=0, dur=3.00, raiseNet=True
[02:29:09.569] [INFO] [Skill/NetworkSkillController] StatusAppliedClientRpc 송신 | role=Server, team=Blue, kind=Freeze, mag=0, dur=3.00
[02:29:09.570] [INFO] [Skill/UnitCombatUseCase] MoveSpeedMul(0=빙결/0<m<1=둔화) | role=Server, unit=25, statusMul=0.00, effectiveMul=0.00
[02:29:09.571] [INFO] [Skill/UnitCombatUseCase] MoveSpeedMul(0=빙결/0<m<1=둔화) | role=Server, unit=23, statusMul=0.00, effectiveMul=0.00
[02:29:09.571] [INFO] [Skill/UnitCombatUseCase] MoveSpeedMul(0=빙결/0<m<1=둔화) | role=Server, unit=22, statusMul=0.00, effectiveMul=0.00
[02:29:09.571] [INFO] [Skill/UnitCombatUseCase] MoveSpeedMul(0=빙결/0<m<1=둔화) | role=Server, unit=17, statusMul=0.00, effectiveMul=0.00
